ns,latitude,longitude,latlong
b1-fra,50.111,8.682,"(50.111,8.682)"
b2-fra,50.111,8.682,"(50.111,8.682)"
b3-fra,50.111,8.682,"(50.111,8.682)"
b4-fra,50.111,8.682,"(50.111,8.682)"
b1-lax,34.05,-118.25,"(34.05,-118.25)"
b2-lax,34.05,-118.25,"(34.05,-118.25)"
b3-lax,34.05,-118.25,"(34.05,-118.25)"
b4-lax,34.05,-118.25,"(34.05,-118.25)"
b1-mia,25.775,-80.209,"(25.775,-80.209)"
b2-mia,25.775,-80.209,"(25.775,-80.209)"
b3-mia,25.775,-80.209,"(25.775,-80.209)"
b4-mia,25.775,-80.209,"(25.775,-80.209)"
b1-iad,38.944,-77.456,"(38.944,-77.456)"
b2-iad,38.944,-77.456,"(38.944,-77.456)"
b3-iad,38.944,-77.456,"(38.944,-77.456)"
b4-iad,38.944,-77.456,"(38.944,-77.456)"
b1-scl,-33.45,-70.667,"(-33.45,-70.667)"
b2-scl,-33.45,-70.667,"(-33.45,-70.667)"
b3-scl,-33.45,-70.667,"(-33.45,-70.667)"
b4-scl,-33.45,-70.667,"(-33.45,-70.667)"
b1-sin,1.283,103.833,"(1.283,103.833)"
b2-sin,1.283,103.833,"(1.283,103.833)"
b3-sin,1.283,103.833,"(1.283,103.833)"
b4-sin,1.283,103.833,"(1.283,103.833)"
a6.nl-ams.root,52.3702157,4.8951679,"(52.3702157,4.8951679)"
n6.nl-ams.root,52.3702157,4.8951679,"(52.3702157,4.8951679)"
a5.nl-ams.root,52.3702157,4.8951679,"(52.3702157,4.8951679)"
n5.nl-ams.root,52.3702157,4.8951679,"(52.3702157,4.8951679)"
a4.nl-ams.root,52.3702157,4.8951679,"(52.3702157,4.8951679)"
n4.nl-ams.root,52.3702157,4.8951679,"(52.3702157,4.8951679)"
a1a.nl-ams.root,52.3702157,4.8951679,"(52.3702157,4.8951679)"
n1a.nl-ams.root,52.3702157,4.8951679,"(52.3702157,4.8951679)"
a1.nl-ams.root,52.3702157,4.8951679,"(52.3702157,4.8951679)"
n1.nl-ams.root,52.3702157,4.8951679,"(52.3702157,4.8951679)"
a1.us-iad.root,39.0437567,-77.4874416,"(39.0437567,-77.4874416)"
n1.us-iad.root,39.0437567,-77.4874416,"(39.0437567,-77.4874416)"
a21-a.us-qas.root,39.0437567,-77.4874416,"(39.0437567,-77.4874416)"
n21-a.us-qas.root,39.0437567,-77.4874416,"(39.0437567,-77.4874416)"
a23-1a.us-qas.root,39.0437567,-77.4874416,"(39.0437567,-77.4874416)"
n23-1a.us-qas.root,39.0437567,-77.4874416,"(39.0437567,-77.4874416)"
a4.us-iad.root,39.0437567,-77.4874416,"(39.0437567,-77.4874416)"
n4.us-iad.root,39.0437567,-77.4874416,"(39.0437567,-77.4874416)"
a3.us-iad.root,39.0437567,-77.4874416,"(39.0437567,-77.4874416)"
n3.us-iad.root,39.0437567,-77.4874416,"(39.0437567,-77.4874416)"
a1.us-lax.root,34.0522342,-118.2436849,"(34.0522342,-118.2436849)"
n1.us-lax.root,34.0522342,-118.2436849,"(34.0522342,-118.2436849)"
a1.de-fra.root,50.1109221,8.6821267,"(50.1109221,8.6821267)"
n1.de-fra.root,50.1109221,8.6821267,"(50.1109221,8.6821267)"
a6.de-fra.root,50.1109221,8.6821267,"(50.1109221,8.6821267)"
n6.de-fra.root,50.1109221,8.6821267,"(50.1109221,8.6821267)"
a1a.de-fra.root,50.1109221,8.6821267,"(50.1109221,8.6821267)"
n1a.de-fra.root,50.1109221,8.6821267,"(50.1109221,8.6821267)"
a4.de-fra.root,50.1109221,8.6821267,"(50.1109221,8.6821267)"
n4.de-fra.root,50.1109221,8.6821267,"(50.1109221,8.6821267)"
a3.de-fra.root,50.1109221,8.6821267,"(50.1109221,8.6821267)"
n3.de-fra.root,50.1109221,8.6821267,"(50.1109221,8.6821267)"
a8.cn-bjs.root,23.1301964,113.2592945,"(23.1301964,113.2592945)"
n8.cn-bjs.root,23.1301964,113.2592945,"(23.1301964,113.2592945)"
a1.gb-lon.root,51.5073509,-0.1277583,"(51.5073509,-0.1277583)"
n1.gb-lon.root,51.5073509,-0.1277583,"(51.5073509,-0.1277583)"
a8.gb-lon.root,51.5073509,-0.1277583,"(51.5073509,-0.1277583)"
n8.gb-lon.root,51.5073509,-0.1277583,"(51.5073509,-0.1277583)"
a9.gb-lon.root,51.5073509,-0.1277583,"(51.5073509,-0.1277583)"
n9.gb-lon.root,51.5073509,-0.1277583,"(51.5073509,-0.1277583)"
a8.us-lax.root,34.0522342,-118.2436849,"(34.0522342,-118.2436849)"
n8.us-lax.root,34.0522342,-118.2436849,"(34.0522342,-118.2436849)"
a7.us-lax.root,34.0522342,-118.2436849,"(34.0522342,-118.2436849)"
n7.us-lax.root,34.0522342,-118.2436849,"(34.0522342,-118.2436849)"
