probe_id,violates_ark,violates_rootdns,ark,rtt_ark,root_letter,hostname,rtt_root
86,False,True,,,f,SEA.cf.f.root-servers.org,16.689
1114,False,True,,,k,ns1.ca-mtr.k.ripe.net,6.291
1116,False,True,,,f,SEA.cf.f.root-servers.org,9.648
1171,False,True,,,j,rootns-sea7,17.741
2108,True,False,fra-de,0.3,,,
3432,True,False,ams9-nl,0.0,,,
3984,True,False,ams9-nl,0.0,,,
4086,False,True,,,f,IST.cf.f.root-servers.org,9.981
6373,True,False,lwc-us,0.4,f,MCI.cf.f.root-servers.org,1.041
6414,True,True,iev-ua,0.7,l,ua-iev-aa,0.734
6420,True,True,mex2-mx,0.6,d,qtmx2.droot.maxgigapop.net,0.445
6428,False,True,cgs-us,4.0,k,ns1.us-ric.k.ripe.net,0.363
6436,True,False,ewr-us,0.2,c,jfk1b.c.root-servers.org,1.947
6439,True,True,fra-de,0.7,b,b3-fra,0.734
6485,False,True,scl4-cl,0.9,e,p02.scl.eroot,0.631
6553,False,True,scl4-cl,1.1,k,ns1.cl-scl.k.ripe.net,0.768
6738,True,True,zrh4-ch,1.3,d,zhch1.droot.maxgigapop.net,0.843
6782,True,True,dfw2-us,0.9,d,datx1.droot.maxgigapop.net,1.786
6801,False,True,scl4-cl,1.4,k,ns1.cl-scl.k.ripe.net,1.052
6925,True,False,lwc-us,0.5,f,MCI.cf.f.root-servers.org,0.998
6934,False,True,,,f,fra1f.f.root-servers.org,10.332
7070,True,False,yto-ca,0.8,e,c01.YYZ.eroot,1.479
7072,True,True,svo-ru,1.9,f,DME.cf.f.root-servers.org,0.798
7124,False,True,scl4-cl,1.5,d,stcl1.droot.maxgigapop.net,0.917
7254,True,False,lgw2-uk,1.3,d,louk7.droot.maxgigapop.net,1.951
7264,True,False,ams9-nl,0.0,,,
7269,True,True,bom2-in,9.2,d,muin2.droot.maxgigapop.net,9.032
7280,False,True,her2-gr,9.3,e,c01.ATH.eroot,0.345
7308,False,True,scl4-cl,1.4,k,ns1.cl-scl.k.ripe.net,0.971
7358,True,False,lwc-us,0.5,e,c01.MCI.eroot,0.986
7361,True,False,lwc-us,0.6,k,ns1.us-mkc.k.ripe.net,0.393
7410,True,False,ams9-nl,0.0,,,
7411,True,False,ams9-nl,0.5,a,nnn1-ein1,0.725
7485,False,True,tpe-tw,2.3,d,tatw2.droot.maxgigapop.net,0.426
7546,True,True,ams9-nl,2.6,a,nnn1-ams5,2.009
7578,False,True,aep3-ar,7.6,d,buar1.droot.maxgigapop.net,0.621
7606,True,True,iev-ua,0.8,e,c01.KBP.eroot,0.538
7624,False,True,scl4-cl,1.0,f,scl2f.f.root-servers.org,0.712
7634,False,True,,,l,ke-nbo-aa,0.369
10274,True,False,ams5-nl,0.9,i,s1.amx,47.956
10507,True,True,lax6-us,0.5,d,laca3.droot.maxgigapop.net,0.502
11518,False,True,,,k,ns2.bg-sof.k.ripe.net,0.65
12303,False,True,,,d,dftx3.droot.maxgigapop.net,3.329
12541,True,False,mia-us,25.8,k,ns3.us-mia.k.ripe.net,35.27
12598,True,False,waw2-pl,6.3,d,wapl4.droot.maxgigapop.net,6.005
13541,True,False,vie2-at,1.6,k,ns2.at-vie.k.ripe.net,14.718
13590,True,False,svo-ru,9.4,f,svo1f.f.root-servers.org,24.035
15616,True,False,ams9-nl,0.0,,,
16430,True,False,jnb3-za,0.2,e,p01.jnb.eroot,7.074
16776,False,True,,,d,mifl1.droot.maxgigapop.net,10.0
16825,True,False,lhr-uk,0.6,,,
17293,True,True,yto-ca,0.5,e,p04.yyz.eroot,0.735
17473,True,False,sea4-us,1.1,,,
18947,False,True,,,e,p02.sna.eroot,5.036
18967,False,True,svo-ru,37.0,k,ns1.kz-ast.k.ripe.net,1.596
20466,True,True,lcy2-uk,14.1,e,c01.LHR.eroot,17.006
20731,True,True,fra2-de,1.0,h,001.fra.h.root-servers.org,0.85
22557,False,True,osl-no,6.4,f,GOT.cf.f.root-servers.org,2.057
22698,False,True,,,k,ns1.cl-scl.k.ripe.net,2.144
23236,False,True,,,e,p03.arn.eroot,0.51
24520,False,True,,,e,c01.KIX.eroot,6.633
25035,False,True,,,f,rom1f.f.root-servers.org,3.049
25047,False,True,,,b,b3-sin,1.917
28778,True,False,ams9-nl,0.0,,,
29720,True,False,fra2-de,0.6,d,ffde3.droot.maxgigapop.net,17.08
