ProbeID,Country Code,Violation Timeframe
1005893 , JP , Present Day
62585 , FR , Present Day
60581 , ZA , Present Day
33013 , IR , Present Day
61747 , MZ , Present Day
1006289 , SE , Present Day
1002236 , AM , Present Day
50830 ,US ,  Present Day
1000989 , CZ , Present Day
62888 , ZM , Present Day
62301 , ES , Present Day
62155 , LS , Present Day
1007306 ,IS ,  Present Day
1006804 , DE , Present Day
25235 , NZ , Present Day
1007514 , AT , Present Day
7072 , RU , Present Day
62299 , TW , Present Day
51756 , GB , Present Day
1005654 , DE , Present Day
6414 , UA , Present Day
1000807 ,RU ,  Present Day
1004885 , DE , Present Day
1006183 , NL , Present Day
61868 ,US ,  Present Day
1002094 , DE , Present Day
1005714 , DE , Present Day
1005171 , CZ , Present Day
50042 , NL , Present Day
1004023 , BR , Present Day
23318 , ES , Present Day
1003803 , RU , Present Day
6862 , NL , Present Day
61548 , US , Present Day
20731 , CH , Present Day
1007193 , DE , Present Day
17882 , IL , Present Day
1002927 , US , Present Day
1004881 , DE , Present Day
62521 , SZ , Present Day
7051 , PT , Present Day
15968 , RU , Present Day
1002417 , US , Present Day
1005931 , ZA , Present Day
1001192 , US , Present Day
1000260 , CA , Present Day
31426 , GB , Present Day
1005465 ,DE ,  Present Day
1007769 , NL , Present Day
16430 , ZA , Present Day
60383 , FR , Present Day
1005955 , DE , Present Day
31330 , US , Present Day
7254 , GB , Present Day
1007397 ,NL ,  Present Day
6779 , ZA , Present Day
1001877 , JP , Present Day
6621 , IT , Present Day
60649 , BW , Present Day
6777 , MZ , Present Day
1005096 , RU , Present Day
10274 , RU , Present Day
1003694 , ES , Present Day
1007339 , ZA , Present Day
1003142 , US , Present Day
11441 , UA , Present Day
61702 , DE , Present Day
1357 , RS , Present Day
62547 ,FR ,  Present Day
7060 , US , Present Day
1006016 , FR , Present Day
55521 , FR , Present Day
1004033 , DE , Present Day
1006261 , DE , Present Day
14122 , CH , Present Day
62157 , GB , Present Day
52247 , AU , Present Day
12601 , UA , Present Day
50734 ,BR ,  Present Day
1007361 , ID , Present Day
6925 , US , Present Day
13054 , GR , Present Day
3785 , ES , Present Day
4429 , SG , Present Day
6268 , CH , Present Day
50243 , RO , Present Day
29439 , FI , Present Day
850 , DE , Present Day
62669 , ES , Present Day
1007385 , US , Present Day
1000023 ,TR ,  Present Day
62435 , RE , Present Day
62904 , US , Present Day
1006888 , US , Present Day
1006807 , PT , Present Day
12920 , US , Present Day
6373 , US , Present Day
60116 , US , Present Day
4472 , UA , Present Day
2874 , US , Present Day
55114 , US , Present Day
1004218 , US , Present Day
1001042 , PT , Present Day
1006643 , RU , Present Day
6884 , US , Present Day
1005948 , AZ , Present Day
1006818 , DE , Present Day
1007315 , IR , Present Day
19526 , BW , Present Day
50493 , RE , Present Day
50686 , IN , Present Day
32947 , HK , Present Day
20875 , BR , Present Day
1002432 , DE , Present Day
1006615 , DE , Present Day
7164 , IN , Present Day
50605 , HR , Present Day
62733 , TR , Present Day
1004134 , IN , Present Day
1003696 , IN , Present Day
1118 , CA , Present Day
54220 , ID , Present Day
10562 , US , Present Day
6422 , US ," 2019-05-14 to 2019-06-04, 2019-07-09 to 2019-11-19, 2019-12-03 to 2019-12-17, 2020-01-02 to 2020-07-16, 2020-07-30 to 2020-08-13, 2020-08-27 to 2020-09-03, 2020-09-17 to 2020-10-01, 2020-10-15 to 2020-12-03, 2020-12-17 to 2021-07-16 "
30799 , ES , 2019-09-17 to 2019-09-17 
22575 , GB ," 2019-01-08 to 2019-01-22, 2023-09-02 to 2023-09-02 "
11918 , US ," 2019-03-19 to 2019-10-01, 2020-01-02 to 2020-06-18 "
4999 , CN ," 2019-07-09 to 2019-07-09, 2020-01-02 to 2020-03-05, 2020-03-19 to 2020-03-26, 2020-04-09 to 2020-08-13, 2020-08-27 to 2020-10-01, 2020-12-17 to 2021-01-08, 2021-01-22 to 2021-02-19, 2021-03-05 to 2021-04-16, 2021-04-30 to 2021-06-25 "
50304 , JP ," 2019-12-24 to 2019-12-24, 2020-01-02 to 2020-03-12 "
